arrow_direct,arrow_orientation,stim_images,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,walcome_screen.started,textwelcomescreen.started,textwelcomescreen.stopped,walcome_screen.stopped,comfirm.started,text.started,keySpacebar.started,comfirm.stopped,keySpacebar.keys,keySpacebar.rt,keySpacebar.duration,trial.started,cross_on_screen.started,arrow.started,cross_on_screen.stopped,arrow.stopped,stim_image.started,rest_cue.started,stim_image.stopped,rest_cue.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.00647209999988263,0.011087099999713246,2.0041455000000497,2.0001876999999695,,,,,,,,,,,,,,,,,,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
,,,,,,,,,,,,,,,,2.0002196000000367,2.0041455000000497,2.0041455000000497,6.305115199999818,space,4.295299600000362,None,,,,,,,,,,,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
U,0,images/feet.jpg,0,0,0,0,0,0,0,6.360586599999806,,,,,,,,,,,,,6.349396399999932,6.360586599999806,7.795493399999941,7.85150909999993,8.789150000000063,8.866124099999979,12.79581539999981,12.85795059999964,15.309647499999755,15.284627900000032,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
R,90,images/right.jpg,1,1,0,0,1,1,2,15.309647499999755,,,,,,,,,,,,,15.302725900000041,15.309647499999755,16.795612899999924,16.80253249999987,17.78846509999994,17.79517850000002,21.794841200000064,21.788920899999994,24.349770199999966,24.283335599999646,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
D,180,images/idle.jpg,2,2,0,0,2,2,3,24.349770199999966,,,,,,,,,,,,,24.337220500000058,24.349770199999966,25.795641400000022,25.843613000000005,26.78853889999982,26.795338099999753,30.79500629999984,30.788004799999726,33.29486339999994,33.283296300000075,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
L,270,images/left.jpg,3,3,0,0,3,3,1,33.29486339999994,,,,,,,,,,,,,33.28805969999985,33.30196109999997,34.79484679999996,34.79484679999996,35.78725149999991,35.80153119999977,39.79471509999985,39.79471509999985,42.294873499999994,42.28386229999978,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
R,90,images/right.jpg,4,0,1,1,0,4,2,42.294873499999994,,,,,,,,,,,,,42.287297899999885,42.30142949999981,43.801524099999824,43.79458459999978,44.794426799999655,44.801475499999924,48.794236400000045,48.794236400000045,51.29431799999975,51.28451259999974,653632,001,2025-09-24_18h20.56.058,MotorImageryExperiment,2024.2.4,143.50537714670125,2025-09-24 18h21.04.991861 +0700,
L,270,images/left.jpg,5,1,1,1,1,5,1,51.29431799999975,,,,,,,,,,,,,51.288597299999765,51.30200590000004,,,,,,,,,,,,,,,,
