arrow_direct,arrow_orientation,stim_images,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,walcome_screen.started,textwelcomescreen.started,walcome_screen.stopped,comfirm.started,text.started,keySpacebar.started,comfirm.stopped,keySpacebar.keys,keySpacebar.rt,keySpacebar.duration,trial.started,cross_on_screen.started,arrow.started,cross_on_screen.stopped,arrow.stopped,stim_image.started,rest_cue.started,stim_image.stopped,rest_cue.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.014330800000607269,0.0870773000006011,2.0057686000000103,,,,,,,,,,,,,,,,,,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
,,,,,,,,,,,,,,,2.005807999999888,2.0111632000007376,2.0111632000007376,37.242501299999276,space,35.22694670000055,None,,,,,,,,,,,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
U,0,images/feet.jpg,0,0,0,0,0,0,0,37.302336700000524,,,,,,,,,,,,37.29000000000087,37.302336700000524,38.732549199999994,38.79498880000028,39.725562499999796,39.73940369999946,43.73171440000078,43.73171440000078,46.28509280000071,46.220834699999614,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
D,180,images/idle.jpg,1,1,0,0,1,1,3,46.28509280000071,,,,,,,,,,,,46.263758700000835,46.28509280000071,47.73238979999951,47.7807800999999,48.72527319999972,48.732662399999754,52.73887350000041,52.72485710000001,55.252673400000276,55.22734370000035,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
R,90,images/right.jpg,2,2,0,0,2,2,2,55.252673400000276,,,,,,,,,,,,55.245240599999306,55.252673400000276,56.74530400000003,56.75217960000009,57.73770920000061,57.73770920000061,61.73151839999991,61.73151839999991,64.24585789999946,64.22048349999932,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
L,270,images/left.jpg,3,3,0,0,3,3,1,64.24585789999946,,,,,,,,,,,,64.23937389999992,64.24585789999946,65.73887289999948,65.73887289999948,66.73153210000055,66.73815400000058,70.73832419999962,70.73113879999983,73.2904651000008,73.22648690000096,193057,001,2025-10-16_19h59.35.379,MotorImageryExperiment,2024.2.4,144.73769910262095,2025-10-16 19h59.40.354544 +0700,
D,180,images/idle.jpg,4,0,1,1,0,4,3,73.2904651000008,,,,,,,,,,,,73.26928360000056,73.2904651000008,74.7381361000007,74.77974490000088,75.73072280000088,75.73817039999994,79.73798139999963,79.73121639999954,,,,,,,,,,
