arrow_direct,arrow_orientation,stim_images,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,walcome_screen.started,textwelcomescreen.started,walcome_screen.stopped,comfirm.started,text.started,keySpacebar.started,comfirm.stopped,keySpacebar.keys,keySpacebar.rt,keySpacebar.duration,trial.started,cross_on_screen.started,arrow.started,cross_on_screen.stopped,arrow.stopped,stim_image.started,rest_cue.started,stim_image.stopped,rest_cue.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.005212199999959921,0.016318200000114302,2.0038635999999315,,,,,,,,,,,,,,,,,,430822,001,2025-05-02_11h56.46.104,MotorImageryExperiment,2024.2.4,143.26360216278889,2025-05-02 11h56.50.993409 +0700,
,,,,,,,,,,,,,,,2.003893600000083,2.0086519999999837,2.0086519999999837,2.3895775999999387,space,0.37505940000005467,None,,,,,,,,,,,430822,001,2025-05-02_11h56.46.104,MotorImageryExperiment,2024.2.4,143.26360216278889,2025-05-02 11h56.50.993409 +0700,
R,90,images/right.jpg,0,0,0,0,0,0,2,2.429286300000058,,,,,,,,,,,,2.4121459000000414,2.429286300000058,3.8913689999999406,3.9254081999999926,4.8909243999999035,4.8909243999999035,8.88366259999998,8.88366259999998,11.384792699999934,11.372551599999952,430822,001,2025-05-02_11h56.46.104,MotorImageryExperiment,2024.2.4,143.26360216278889,2025-05-02 11h56.50.993409 +0700,
U,0,images/feet.jpg,1,1,0,0,1,1,0,11.384792699999934,,,,,,,,,,,,11.378930099999934,11.397712299999966,12.883424800000057,12.890685699999949,13.876983800000062,13.88302509999994,,,,,,,,,,,,
